"amb","prof","n","M̩dia","DP","EP","Mediana"
"Cerrado","0-10 cm",5,7.04,0.05,0.02,7.03
"Cerrado","10-20 cm",5,6.83,0.01,0,6.82
"Cerrado","20-30 cm",5,1.64,0.01,0,1.64
"Cerrado","30-40 cm",5,1.57,0.01,0,1.57
"Cerrado","40-50 cm",5,1.59,0.03,0.01,1.59
"Cerrado",NA,15,5.57,2.96,0.76,6.57
"Conventional
Agriculture","0-10 cm",5,8.05,0,0,8.05
"Conventional
Agriculture","10-20 cm",5,8.2,0.01,0.01,8.2
"Conventional
Agriculture","20-30 cm",5,3.92,0.22,0.1,3.92
"Conventional
Agriculture","30-40 cm",5,1.68,0.04,0.02,1.66
"Conventional
Agriculture","40-50 cm",5,1.58,0.21,0.09,1.5
"Conventional
Agriculture",NA,15,3.77,1.73,0.45,4.76
"Mahogany","0-10 cm",5,8.35,0.08,0.04,8.32
"Mahogany","10-20 cm",5,8.55,0.08,0.04,8.55
"Mahogany","20-30 cm",5,4.29,0.12,0.05,4.27
"Mahogany","30-40 cm",5,1.62,0.01,0,1.62
"Mahogany","40-50 cm",5,1.58,0.01,0,1.57
"Mahogany",NA,15,3.98,2.4,0.62,3.78
"Eucalyptus","0-10 cm",5,8.31,0.01,0.01,8.31
"Eucalyptus","10-20 cm",5,8.34,0.01,0.01,8.34
"Eucalyptus","20-30 cm",5,6.67,0.02,0.01,6.67
"Eucalyptus","30-40 cm",5,4.86,0.12,0.05,4.89
"Eucalyptus","40-50 cm",5,1.77,0.04,0.02,1.79
"Eucalyptus",NA,15,6.19,3.26,0.84,8.37
"Teak","0-10 cm",5,4.49,0.06,0.03,4.49
"Teak","10-20 cm",5,4.13,0.35,0.16,4.26
"Teak","20-30 cm",5,3.4,0.34,0.15,3.33
"Teak","30-40 cm",5,2.91,0.5,0.22,3.06
"Teak","40-50 cm",5,1.91,0.41,0.18,1.74
"Teak",NA,15,1.62,0.13,0.03,1.71
